"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"IC.ELC.TIME.DFRN","","Getting electricity: Time (days) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-electricity","","","",
"IC.REG.COST.PC.FE.ZS","","Starting a business: Cost - Women (% of income per capita)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.COST.PC.FE.ZS.DRFN","","Starting a business: Cost - Women (% of income per capita) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.COST.PC.MA.ZS","","Starting a business: Cost - Men (% of income per capita)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.COST.PC.MA.ZS.DFRN","","Starting a business: Cost - Men (% of income per capita) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.DFRN.PC.DFRN","","Starting a business: Paid-in Minimum capital (% of income per capita) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.DURS.FE.DY","","Starting a business: Time - Women (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.DURS.FE.DY.DRFN","","Starting a business: Time - Women (days)- Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.DURS.MA.DY","","Starting a business: Time - Men (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.DURS.MA.DY.DFRN","","Starting a business: Time - Men (days) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.MIN.CAP","","Starting a business: Minimum capital (% of income per capita)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.PROC.FE.NO","","Starting a business: Procedures required - Women (number)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.PROC.FE.NO.DFRN","","Starting a business: Procedures required - Women (number) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.PROC.MA.NO","","Starting a business: Procedures required - Men (number)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.PROC.MA.NO.DFRN","","Starting a business: Procedures required - Men (number) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.PRRT.COST.PRT.VAL","","Registering property: Cost (% of property value)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.COST.PRT.VAL.DFRN","","Registering property: Cost (% of property value) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.DFRN.DB0515","","Registering property (DB05-15 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.DFRN.DB16","","Registering property (DB16 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.DFRN.DB1719","","Registering property (DB17-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.DURS.TM","","Registering property: Time (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.DURS.TM.DRFN","","Registering property: Time (days) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.EQACCS.XD.08.DB1619","","Registering property: Equal access to property rights index (-2-0) (DB17-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.GEO.COVR.XD.08.DB1619","","Registering property: Geographic coverage index (0-8) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.LAND.DISP.XD.08.DB1619","","Registering property: Land dispute resolution index (0-8) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.LNDADM.GEN.XD.030.DB1719.DFRN","","Registering property: Quality of land administration index with Gender (0-30) (DB17-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.PROC.NO","","Registering property: Procedures (number)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.PROC.NO.DFRN","","Registering property: Procedures (number) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16","","Registering property: Quality of land administration index (0-30) (DB16 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16.DFRN","","Registering property: Quality of land administration index (0-30) (DB16 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.QUAL.LNDADM.XD.030.DB1719","","Registering property: Quality of land administration index (0-30) (DB17-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.REG.RK.DB19","","Rank: Registering property (1=most business-friendly regulations)  (DB19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.RELI.INFR.XD.09.DB1619","","Registering property: Reliability of infrastructure index (0-8) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.PRRT.TRAP.INFO.XD.06.DB1619","","Registering property: Transparency of information index (0-6) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/registering-property","","","",
"IC.REG.STRT.BUS.DFRN","","Starting a business - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"IC.REG.STRT.BUS.RK.DB19","","Rank: Starting a business (DB19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/starting-a-business","","","",
"OTHR.TAX.PAID.ZS","","Other taxes (% of profits)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/paying-taxes","","","",
"PAY.TAX.COIT.AU.HRS.DB1719","","Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/paying-taxes","","","",
"PAY.TAX.COIT.AU.HRS.TM.DB1719.DFRN","","Paying taxes: Time to comply with corporate income tax correction (hours) (DB17-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/paying-taxes","","","",
"PAY.TAX.COIT.AU.WKS.DB1719","","Paying taxes: Time to complete a corporate income tax correction (weeks) (DB17-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/paying-taxes","","","",
